ID,alpha,beta,LL,BIC
60.0,0.033254933861074955,0.09886688699703773,-66.55402195677395,143.25839154401555
61.0,0.38387531206417985,0.08328897356804817,-67.92648162395733,146.0033108783823
62.0,0.22260053687917825,0.14855786223910913,-53.30914574763025,116.76863912572814
63.0,0.11445226426990034,0.12723839604734236,-57.43392717990354,125.01820199027473
64.0,0.06780232665952692,0.06598473674937354,-81.86380190292024,173.87795143630814
65.0,0.16394300567508596,0.1657304074463798,-47.690614525188124,105.5315766808439
66.0,0.35846896785585736,0.07408925517155605,-71.98035447995727,154.1110565903822
67.0,0.21437139498931362,0.20035868715286703,-43.755119033253834,97.66058569697532
68.0,0.09020919045112852,0.2545703159248832,-34.985313093510456,80.12097381748856
69.0,0.6463189378774201,0.04573755656285564,-81.35464675444095,172.85964113934955
70.0,0.18461194724350263,0.23355243771699374,-40.49345870524269,91.13726504095303
71.0,0.06700273499424993,0.11448499459841638,-60.482672615036876,131.1156928605414
72.0,0.24289561272557691,0.07169110747078077,-75.26895045957926,160.68824854962617
73.0,0.43952186698832896,0.084768596250215,-64.89274182473496,139.93583127993756
74.0,0.3759285709260991,0.08976333655130997,-66.1774513442829,142.50525031903345
