ID,alpha,beta,omega,recovered1MulAlpha,recovered1MulBeta,recovered1MulLL,recovered1MulBIC,recovered2MulAlphaS,recovered2MulAlphaV,recovered2MulBeta,recovered2MulLL,recovered2MulBIC,recovered1AddAlpha,recovered1AddBeta,recovered1AddOmega,recovered1AddLL,recovered1AddBIC,recovered2AddAlphaS,recovered2AddAlphaV,recovered2AddBeta,recovered2AddOmega,recovered2AddLL,recovered2AddBIC
5591,0.0007253614803332,0.0601891630761538,0.4866642589587621,0.4464480511410478,0.01995427278366919,-102.53139885876757,215.2131453480028,0.459900726681182,0.11959776423830247,0.022086022784028343,-102.3942686746746,220.0140587950507,0.6443627188525257,0.020769242911504313,0.8761581151795385,-99.11570163419167,213.4569247140848,0.5758570749686257,0.9999894635324191,0.020790195648944215,0.8812881372380734,-99.00888299540401,218.31846125174332
5592,0.0585530115427192,0.1706998898509003,0.4780256842399759,0.10576613504218335,0.1867886889918383,-44.71088888613551,99.57212540273866,0.09289415602526209,0.1130657503278332,0.18941676458070833,-44.5668914644131,104.35930437452767,0.08426352192503347,0.1780610988020995,0.5193373449669036,-33.9531449822822,83.13181141026587,0.07337271096850491,0.08629248908483979,0.17958834379504532,0.5167941476694746,-33.87190435051244,88.04450396196017
5593,0.1846545128713064,0.0718886454264041,0.6719846130604143,0.09905095594729907,0.09209749156178462,-69.19698787029735,148.54432337106235,0.0684994340045825,0.10841568569550387,0.09283726472342937,-68.98626817651937,153.19805779874022,0.09549243906831711,0.07520345695958672,0.5722871261071825,-66.15344134850669,147.53240414271485,0.0839574406046382,0.0955887998520913,0.07561458906851087,0.5683749988465515,-66.14506444403955,152.5908241490144
5594,0.0450742254335654,0.0332123445730703,0.8966213905326866,0.011535943585518498,0.08761762298000778,-72.72338943618985,155.59712650284735,0.010798659185746249,0.015371756051596875,0.08770137086875253,-72.69349366343175,160.61250877256498,0.4085043913093561,0.046508356248870356,0.9081903760581103,-74.29959858430556,163.8247186143126,0.31256602563922675,0.4813368371074433,0.04670895523638997,0.9075771105896445,-74.26896973540141,168.83863473173813
5595,0.7111387645153971,0.0879463903109045,0.6083927296599032,0.5807739727849884,0.12198055338978767,-50.10800601352078,110.36635965750921,0.4941619044184246,0.6399180828770613,0.1248926644697927,-49.54513261552583,114.31578667675313,0.5628260361251858,0.0842877592085139,0.6057961162457459,-49.4094880895382,114.04449762477788,0.4848813960228695,0.6307181234549376,0.08526557783170598,0.6044466822163848,-48.89370695030959,118.08810916155448
5596,0.0549964057240104,0.1009234043731547,0.4190295684602299,0.10977011798502569,0.09677434838939225,-66.40049921821974,142.95134606690712,0.19224428850682534,0.0774314034434439,0.09914691518964135,-65.66572190215011,146.5569652500017,0.031400957391113336,0.11620522255337574,0.3539228981950129,-57.75697391705507,130.73946927981163,0.036630360213396496,0.026605384335580993,0.11375400166161323,0.3625251876209913,-57.597136937333744,135.4949691356028
5597,0.3190148513740858,0.0850462371497743,0.3109378136353227,0.4732895289466778,0.11956288307482263,-50.8565410793241,111.86342978911586,0.38136945353847845,0.5255592254142214,0.12465691598133002,-50.233991194291306,115.69350383428409,0.3346436677480259,0.09160521603033064,0.39667175835289126,-37.16399447101692,89.55351038773532,0.2578526528920583,0.3999695208613912,0.09566524943502204,0.40718368133243193,-36.10721401657224,92.51512329407979
5598,0.2641715674003846,0.1344967951597143,0.4813126385123091,0.4493626459063845,0.18550047582383242,-41.50844948505254,93.16724660057272,0.40552993716808144,0.5646315595491045,0.20389066944332299,-40.62924568187874,96.48401280945896,0.3240241094709141,0.15527393475447554,0.44205153402687714,-25.385038784321196,65.99559901434387,0.3179195179378567,0.334914530245071,0.1559395631275573,0.443605555065402,-25.361779897778952,71.02425505649322
5599,0.4373852563972816,0.095883734956351,0.5906597251888864,0.348373980890635,0.16411879481112066,-43.21550480107879,96.58135723262522,0.3471402353022706,0.3488354229545925,0.16413682425195555,-43.2154181992465,101.65635784419447,0.4341915889827674,0.1311346623227395,0.6021990941304532,-38.38888264933287,92.00328674436722,0.43716083822277274,0.43249440034777403,0.13121214864918324,0.6022926186772142,-38.3881357549753,97.07696677088592
5600,0.3341499076391893,0.1086419212974456,0.6162107532908998,0.289469145075898,0.11371419222841148,-58.790495460454764,127.73133855137718,0.2751325244771376,0.31165475991672054,0.11348957315356976,-58.76403609303898,132.75359363177944,0.45236707160023826,0.09510697658488548,0.7007273821244727,-50.39032207791625,116.00616560153398,0.36086966280286403,0.5174053744160306,0.09583653077588981,0.7032348123253825,-50.04123993517075,120.3831751312768
5601,0.4812702613189029,0.0554815755159379,0.4680479288788861,0.6297565895840511,0.07498642569903345,-71.01402111733344,152.17838986513453,0.7188370435261011,0.5557780564384444,0.0763395934227009,-70.38171690610565,155.98895525791278,0.49858593362520837,0.05506206788482461,0.4465252974069951,-63.31526144337643,141.85604433245433,0.5612026945417031,0.44361995292550327,0.055483772748629645,0.44488894593803513,-62.80485379925484,145.91040285944499
5602,0.4864429705544256,0.1177192212894765,0.4543127247213442,0.796926951748998,0.1778898253745021,-40.018902490265575,90.1881526109988,0.8304285616305219,0.7703775571524745,0.17726845479152242,-39.806199440293064,94.8379203262876,0.5210748588117555,0.1244228738452054,0.3454862729242491,-24.488348663053348,64.20221877180818,0.555311134188951,0.49409326906303414,0.1226495580017153,0.3434674267649139,-24.051016096414415,68.40272745376413
5603,0.2380232236349614,0.128829714928388,0.4790457573725979,0.23792113971340986,0.19219811314687524,-42.351266332364915,94.85288029519748,0.16430621871315793,0.28716156312018004,0.20460988942171046,-40.54206449510231,96.3096504359061,0.2068900637871748,0.1538850591315234,0.5185010466107647,-34.584898477873196,84.39531840144787,0.17172832481817132,0.2232955472596281,0.15259580700949388,0.5189219389005557,-34.23247312630626,88.76564151354782
5604,0.0253669748262154,0.0519866076255988,0.3487686420674398,0.157391375721834,0.05280066611506757,-85.82165265839035,181.79365294724835,0.2577647048777235,0.12792675422953037,0.05293721380872414,-85.56227924301095,186.35007993172337,0.05523223787354037,0.051457793297621394,0.3884849633674618,-82.7894903182547,180.8045020822109,0.08845483496727609,0.05170990150179455,0.049608893551163095,0.40366899558155256,-82.67370044954023,185.64809616001577
