ID,alpha,beta,recovered1MulAlpha,recovered1MulBeta,recovered1MulLL,recovered1MulBIC,recovered2MulAlphaS,recovered2MulAlphaV,recovered2MulBeta,recovered2MulLL,recovered2MulBIC,recovered1AddAlpha,recovered1AddBeta,recovered1AddOmega,recovered1AddLL,recovered1AddBIC,recovered2AddAlphaS,recovered2AddAlphaV,recovered2AddBeta,recovered2AddOmega,recovered2AddLL,recovered2AddBIC
7098,0.0723548350378995,0.1266084236856864,0.06247666848131371,0.12573820033876035,-57.08563591659641,124.32161946366047,0.04253972829526635,0.07216215348902266,0.12616600175410844,-56.76840391156082,128.76232926882312,0.029322124668177445,0.09867889422736575,0.5552628318684851,-59.4112508853817,134.04802321646488,0.017948227008435156,0.034214484611380894,0.1091378350137593,0.5017540008481628,-59.01159510519989,138.32388547133507
7099,0.2196846792472276,0.0812975362478639,0.20675094676546524,0.11439572476832273,-57.828124377040155,125.80659638454796,0.2319329989844425,0.19257123986599378,0.11512060327816563,-57.73889062590421,130.7033026975099,0.21903198934304627,0.07072840816833173,0.5824217729300359,-63.816202480809324,142.85792640732012,0.1984751378317469,0.23633243149555946,0.07021822741131405,0.5830746959596053,-63.76750429121387,147.83570384336304
7100,0.0668914976615098,0.0198981322601074,0.09914925161325125,0.031745954985158,-98.89751404491923,207.94537572030612,0.6063896105253889,0.07445783375773335,0.032399614079343095,-96.88184775785206,208.9892169614056,0.11520660352539742,0.02470788043620785,0.6542569229583362,-99.24991816280047,213.7253577713024,0.6722514300040631,0.08306047173137587,0.02525681598258305,0.6470967952241805,-97.34030117070623,214.98129760234775
7101,0.047822299133581,0.0514223533320626,0.04468434799908707,0.042810922754240324,-94.53036653290343,199.2110806962745,0.0820938783795647,0.027993106334830885,0.04264010037054693,-94.32242728260348,203.87037601090844,0.023408008704312516,0.043191936779610925,0.46228314057151404,-93.81535668063023,202.85623480696194,0.12064126714680594,0.02828179121825121,0.03562998847313444,0.5689979963706853,-93.58241581182986,207.46552688459502
7102,0.591267834105171,0.0452519874302426,0.5728135294553215,0.0394804784812041,-89.30994040313222,188.77022843673208,0.45871466062696997,0.6513403386203942,0.04004246995383922,-89.15544515666183,193.53641175902513,0.5983020873941731,0.03185836843235857,0.6507249109968378,-89.81618052993011,194.8578825055617,0.5029398074005149,0.6495287944373157,0.03211175425831606,0.6478743444983516,-89.74767356547906,199.79604239189342
7103,0.040050174198388,0.0597335288701409,0.07814567227023929,0.06273941021482067,-81.83441917140232,173.81918597327228,0.41811277168977595,0.06437082730387526,0.0607513110551494,-80.33574406580757,175.89700957731662,0.063109438010532,0.04863967420964104,0.6003845860000853,-83.45323627684576,182.131993999393,0.39013192275747766,0.0623127698653541,0.046172289501937545,0.6380557091276334,-82.10636792873967,184.51343111841464
7104,0.4664252119639598,0.1014100682819306,0.41478677116807605,0.09784913914038731,-63.31718238869454,136.78471240785674,0.25404576581492594,0.47148896751164104,0.1001014276129756,-62.585635498204034,140.39679244210956,0.4206481470904955,0.06176212885631304,0.5870921145100734,-68.40797771940218,152.04147688450584,0.3965120522360192,0.43497772314478256,0.06171830820444782,0.5867864465647075,-68.38543584453558,157.07156695000646
7105,0.0298049004220039,0.1272383899802605,0.033076152030086924,0.12057156653725026,-59.66029781973586,129.47094326993937,0.04008622454120222,0.016600424057607095,0.12202132528158972,-59.109021743681,133.44356493306347,0.0007956379947910397,0.999997451623717,0.05595551033664664,-58.20104839128753,131.62761822827653,0.0007938848411104081,0.0008190044657071085,0.9999974516257847,0.055956645845856516,-58.20001893204044,136.7007331250162
7106,0.3838751799402183,0.1485578604183885,0.437098526884904,0.18556212488570797,-38.02567369853297,86.20169502753359,0.4841974293035579,0.41919640235173233,0.18432979528945634,-37.86704568866495,90.95961282303138,0.4774268702060674,0.10216797135392001,0.6002429785183917,-41.64416167762218,98.51384480094583,0.5442882280899057,0.4473603606384714,0.10226884588168027,0.6019289440306955,-41.39944741402272,103.09959008898073
7107,0.4513368787896792,0.2545702926705971,0.4473681402311158,0.2753580818078809,-34.526885642970676,79.204118916409,0.4384455050590122,0.45248522560596094,0.27713788837660486,-34.508897938724616,84.2433173231507,0.4594067791712961,0.12573062676265626,0.5864493581392477,-42.771164338672676,100.76785012304683,0.4875131666562716,0.4348836162824294,0.12508475178804365,0.5856913229194431,-42.6416100263694,105.58391531367411
